Country Code (ISO3),macro_impact,physical_volume,type,physical_unit,Country Name,gdp2022,relative impact
DMA,11158753.298234485,236.725984375,animal,1000 heads,Dominica,607159259.259259,0.01837862657624342
DNK,2860179091.6090913,8947.989412109375,animal,1000 heads,Denmark,400167196948.707,0.007147460145204521
DOM,405183048.8772146,28236.27325784302,animal,1000 heads,Dominican Republic,113537368176.13,0.003568719756200936
DZA,4546247099.683071,78687.18615441895,animal,1000 heads,Algeria,225560256621.757,0.02015535523754388
ECU,755321202.6331292,26494.6417139,animal,1000 heads,Ecuador,116586000000.0,0.006478661268360946
EGY,12193657978.827759,104978.858034,animal,1000 heads,Egypt,476747720364.742,0.025576751514404396
ERI,112336756.62260221,2484.6823127441407,animal,1000 heads,Eritrea,,
ESP,10095764712.387112,63765.99297960001,animal,1000 heads,Spain,1417800466262.65,0.007120723227718882
EST,138130089.74469954,307.065482421875,animal,1000 heads,Estonia,37921480881.5429,0.003642528892164917
ETH,2514772742.5913405,56886.29516015625,animal,1000 heads,Ethiopia,126772703047.701,0.019836863000744744
FIN,505674178.24577063,1898.82711335186,animal,1000 heads,Finland,281887430795.721,0.0017938869314546488
FRA,7618093487.567096,46500.158814817994,animal,1000 heads,France,2779092236505.85,0.0027412164977817783
GAB,14897738.987061717,1114.263803871423,animal,1000 heads,Gabon,21071739227.9422,0.0007070009184294838
GBR,6552666055.741909,45494.94707183,animal,1000 heads,United Kingdom,3088839763445.02,0.0021214004472778613
GEO,133702643.58254051,1339.41758238,animal,1000 heads,Georgia,24984568959.605,0.005351408855550427
GHA,361876277.6601776,30086.309711730955,animal,1000 heads,Ghana,74263364041.8742,0.004872877526206997
GIN,357608611.2226761,15158.190966552735,animal,1000 heads,Guinea,20999229260.4995,0.017029606505385132
GMB,23475399.678008534,943.8254520263672,animal,1000 heads,Gambia,2175099789.97829,0.01079279203012697
GNB,24727498.322865415,856.9083038940429,animal,1000 heads,Guinea-Bissau,1714166526.44573,0.014425376963892242
GNQ,829260.0480553794,118.67201831054687,animal,1000 heads,Equatorial Guinea,13486788878.9757,6.148684134502151e-05
GRC,1455724816.4607422,15479.9999571,animal,1000 heads,Greece,217581324512.059,0.0066904860503322365
GRD,10351487.457877912,298.396,animal,1000 heads,Grenada,1224577777.77778,0.00845310738584737
GTM,1102023296.3396845,12643.70703175,animal,1000 heads,Guatemala,95003330315.8754,0.011599838581190585
GUY,113084972.37597005,13776.565797205205,animal,1000 heads,Guyana,14718388489.2086,0.007683244158073625
