Country Code (ISO3),item,macro_impact,type,physical_volume,physical_unit,Country Name,gdp2022,relative impact
AFG,sugarbeet,3088488.746272683,vegetal,3200.1748484848026,tonnes,Afghanistan,14502158192.0904,0.00021296752561678515
AFG,sugarcane,6736669.995688335,vegetal,19125.589085894775,tonnes,Afghanistan,14502158192.0904,0.0004645287898847064
AFG,sunflower,,vegetal,369.5490486328125,tonnes,Afghanistan,14502158192.0904,
AFG,sweetpotato,10438.07850698532,vegetal,33.80363152852058,tonnes,Afghanistan,14502158192.0904,7.197603535091994e-07
AFG,tangetc,,vegetal,,tonnes,Afghanistan,14502158192.0904,
AFG,tea,,vegetal,,tonnes,Afghanistan,14502158192.0904,
AFG,tobacco,187.70362217507335,vegetal,0.3788930605068093,tonnes,Afghanistan,14502158192.0904,1.294315092200887e-08
AFG,tomato,1427298.390722209,vegetal,1683.3664899520875,tonnes,Afghanistan,14502158192.0904,9.841972290032456e-05
AFG,tropicalnes,,vegetal,,tonnes,Afghanistan,14502158192.0904,
AFG,turnipfor,0.0,vegetal,0.0,tonnes,Afghanistan,14502158192.0904,0.0
AFG,vegetablenes,173142.94329039002,vegetal,843.7765267562868,tonnes,Afghanistan,14502158192.0904,1.1939115612793663e-05
AFG,vegfor,52493552.99803125,vegetal,255816.535078125,tonnes,Afghanistan,14502158192.0904,0.003619706274246938
AFG,walnut,,vegetal,891.3093775360109,tonnes,Afghanistan,14502158192.0904,
AFG,watermelon,143602300.3219104,vegetal,198716.25312656251,tonnes,Afghanistan,14502158192.0904,0.009902133077008657
AFG,wheat,935921912.21581,vegetal,1095542.4467,tonnes,Afghanistan,14502158192.0904,0.06453673307234158
AFG,yam,72091.87999441726,vegetal,88.55952336394235,tonnes,Afghanistan,14502158192.0904,4.971113887982327e-06
ALB,alfalfa,,vegetal,,tonnes,Albania,18916378860.5488,
ALB,almond,152429.0021713171,vegetal,80.63320047149656,tonnes,Albania,18916378860.5488,8.058043418088679e-06
ALB,aniseetc,8205.59731827348,vegetal,3.1467604027688503,tonnes,Albania,18916378860.5488,4.337826694403296e-07
ALB,apple,19290941.410805665,vegetal,34602.58549023438,tonnes,Albania,18916378860.5488,0.001019800964709902
ALB,apricot,2272818.7383059203,vegetal,2542.8717143722533,tonnes,Albania,18916378860.5488,0.00012015083621770839
