Country Code (ISO3),macro_impact,physical_volume,type,physical_unit,Country Name,gdp2022,relative impact
DOM,4730162165.649248,7324113.244964824,vegetal,tonnes,Dominican Republic,113537368176.13,0.041661721084738985
DZA,4904889260.716475,7557371.5196514325,vegetal,tonnes,Algeria,225560256621.757,0.02174536123596235
ECU,4166463395.1986246,14601461.909982769,vegetal,tonnes,Ecuador,116586000000.0,0.03573725314530582
EGY,10597685549.281261,26827529.982631266,vegetal,tonnes,Egypt,476747720364.742,0.022229126845479966
ERI,87285789.02653196,176335.2399700037,vegetal,tonnes,Eritrea,,
ESP,14455038381.316849,23510194.496415805,vegetal,tonnes,Spain,1417800466262.65,0.010195396831417763
EST,282356449.2537751,637317.0837011139,vegetal,tonnes,Estonia,37921480881.5429,0.007445818113901858
ETH,8692978806.874807,13044355.519556655,vegetal,tonnes,Ethiopia,126772703047.701,0.06857137694385111
FIN,292677231.25584996,570367.5445517605,vegetal,tonnes,Finland,281887430795.721,0.0010382769832257904
FRA,11832848930.704493,20375999.39419559,vegetal,tonnes,France,2779092236505.85,0.00425781079709032
GAB,483232771.5651847,540772.1248538707,vegetal,tonnes,Gabon,21071739227.9422,0.02293274258654423
GBR,6072446478.193992,13696613.757408516,vegetal,tonnes,United Kingdom,3088839763445.02,0.001965931204997607
GEO,416686190.3228478,731920.0005187063,vegetal,tonnes,Georgia,24984568959.605,0.016677741809216128
GHA,4765876568.874426,14020334.762349064,vegetal,tonnes,Ghana,74263364041.8742,0.06417533908357739
GIN,3087960530.9423137,5841263.673479243,vegetal,tonnes,Guinea,20999229260.4995,0.14705113662199532
GMB,147431641.87950802,263918.67125185794,vegetal,tonnes,Gambia,2175099789.97829,0.06778155308496422
GNB,142324745.96750003,361940.2036025296,vegetal,tonnes,Guinea-Bissau,1714166526.44573,0.08302854114331931
GNQ,193556202.24043077,253549.99896559093,vegetal,tonnes,Equatorial Guinea,13486788878.9757,0.0143515409025318
GRC,8207933657.807602,7192257.13106657,vegetal,tonnes,Greece,217581324512.059,0.03772352096952464
GRD,14839499.228143264,14241.82731660843,vegetal,tonnes,Grenada,1224577777.77778,0.012118053665053636
GTM,6243337835.370323,15015172.189065155,vegetal,tonnes,Guatemala,95003330315.8754,0.0657170418617108
GUY,620507053.7973326,1725829.4631788388,vegetal,tonnes,Guyana,14718388489.2086,0.04215862723370044
HKG,0.0,0.0,vegetal,tonnes,Hong Kong SAR,358696261481.16,0.0
HND,963466134.2320663,3067128.1245814282,vegetal,tonnes,Honduras,31426041806.7985,0.030658208251464758
HRV,624708552.8294562,1745705.855925576,vegetal,tonnes,Croatia,71997070660.4835,0.008676860698616387
HTI,949309074.0194846,2582565.5141170127,vegetal,tonnes,Haiti,20253551920.5516,0.04687123906677355
HUN,2080381262.3121166,3462754.484331098,vegetal,tonnes,Hungary,177006128624.627,0.01175315950061783
IDN,39398603395.76254,109408519.13065046,vegetal,tonnes,Indonesia,1319076267310.16,0.029868328596422685
IND,80481043670.96613,210361740.0235353,vegetal,tonnes,India,3353470496885.95,0.023999329573855276
IRL,179675434.35675398,375940.43699836533,vegetal,tonnes,Ireland,533140011838.276,0.0003370135993680721
IRN,7216716301.580694,17074074.21949217,vegetal,tonnes,Iran,413394567603.552,0.017457211262876512
IRQ,994540960.8143818,2622428.174622702,vegetal,tonnes,Iraq,286640340965.517,0.0034696475641369184
ISL,3197970.4574720007,2898.81296,vegetal,tonnes,Iceland,28701830401.6837,0.00011142043600412335
ISR,2672592740.762371,2050326.2243702167,vegetal,tonnes,Israel,525002447652.773,0.005090629106037949
ITA,19895654561.562286,19436091.313303515,vegetal,tonnes,Italy,2066972096553.7,0.009625507085816335
JAM,947172887.3824269,1229512.0838909226,vegetal,tonnes,Jamaica,17097760686.7775,0.05539748185356928
