Country Code (ISO3),Crop,Item Code (CPC),clipped_PA_surf,total_surf,yield,price
COD,pea,01705,896.5848999023438,3207.6304,405.3,3178.1
COD,pepper,01651,1.080341339111328,4.5102997,,
COD,pigeonpea,01707,2915.96142578125,11019.733,606.2,
COD,pimento,01652,1482.5546875,7525.1016,3407.5,3890.7
COD,pineapple,01318,1840.6849365234373,8018.434,24348.2,375.85
COD,plantain,01313,304453.9375,1111069.0,4498.4,
COD,popcorn,0112,0.0,0.0,771.9,488.3
COD,potato,01510,16930.806640625,23063.54,4582.0,758.8285714285714
COD,pulsenes,01709.90,19490.91796875,99313.65,405.9,237.3
COD,pumpkinetc,01235,652.1609497070312,2947.8052,10754.8,406.65
COD,pyrethrum,01930.02,6.663814544677734,6.88699,,
COD,rice,0113,249797.546875,1305896.8,927.3,777.86
COD,rootnes,01599.10,21863.244140625,110559.51,7295.2,
COD,rubber,01950.01,10377.046875,52689.438,229.0,
COD,sesame,01444,2045.2744140625,11331.125,430.7,1016.525
COD,sisal,01929.05,0.2123787403106689,4.950261,,
COD,sorghumfor,0114,0.0,0.0,679.5,537.4100000000001
COD,sorghum,0114,2686.914794921875,10445.678,679.5,537.4100000000001
COD,soybean,0141,9371.763671875,47296.184,540.1,723.55
COD,spicenes,01699,2.7392797470092773,14.990173,744.7,
COD,sugarcane,01802,11092.0576171875,44921.832,41719.2,352.2333333333333
COD,sunflower,01445,458.4144287109375,1409.8219,,
COD,sweetpotato,01530,33145.29296875,105463.35,5008.2,308.7857142857143
COD,tangetc,01324,1.3586130142211914,2.8501549,,
COD,taro,01550,4197.87939453125,18695.152,3703.6,654.0
COD,tea,01620,4511.18505859375,9833.128,106.4,
COD,tobacco,01970,2912.956787109375,7873.293,451.5,495.4
COD,tomato,01234,1801.1983642578125,7131.2314,7501.5,847.8833333333333
COD,tropicalnes,01319,17.21121597290039,76.319435,,
COD,turnipfor,01251,0.0,0.0,9064.5,722.1999999999999
COD,vegetablenes,01290.90,9786.615234375,49052.57,6180.5,205.2
