,Area Code (M49),Area,Item Code (CPC),Item,Volume,Unit
271,50,Bangladesh,21155,"Edible offal of sheep, fresh, chilled or frozen",,USD
272,50,Bangladesh,0232,"Eggs from other birds in shell, fresh, n.e.c.",,USD
273,50,Bangladesh,21515,"Goat fat, unrendered",,USD
274,50,Bangladesh,0231,"Hen eggs in shell, fresh",1078875464.24,USD
275,50,Bangladesh,21112,"Meat of buffalo, fresh or chilled",25504372.18333333,USD
276,50,Bangladesh,21111.01,"Meat of cattle with the bone, fresh or chilled",1389312956.784,USD
277,50,Bangladesh,21121,"Meat of chickens, fresh or chilled",844725359.192,USD
278,50,Bangladesh,21122,"Meat of ducks, fresh or chilled",133204778.752,USD
279,50,Bangladesh,21116,"Meat of goat, fresh or chilled",1126692712.9750001,USD
280,50,Bangladesh,21115,"Meat of sheep, fresh or chilled",44662561.827,USD
281,50,Bangladesh,21170.92,"Other meat n.e.c. (excluding mammals), fresh, chilled or frozen",,USD
282,50,Bangladesh,02951.03,Raw hides and skins of buffaloes,,USD
283,50,Bangladesh,02951.01,Raw hides and skins of cattle,,USD
284,50,Bangladesh,02954,Raw hides and skins of goats or kids,,USD
285,50,Bangladesh,02953,Raw hides and skins of sheep or lambs,,USD
286,50,Bangladesh,02212,Raw milk of buffalo,499208900.0,USD
287,50,Bangladesh,02211,Raw milk of cattle,9502470828.0,USD
288,50,Bangladesh,02292,Raw milk of goats,2130218727.0,USD
289,50,Bangladesh,02291,Raw milk of sheep,174862571.0,USD
290,50,Bangladesh,21514,"Sheep fat, unrendered",,USD
291,50,Bangladesh,02941,"Shorn wool, greasy, including fleece-washed shorn wool",3789360.423,USD
292,52,Barbados,21512,"Cattle fat, unrendered",,USD
293,52,Barbados,21151,"Edible offal of cattle, fresh, chilled or frozen",,USD
294,52,Barbados,21156,"Edible offal of goat, fresh, chilled or frozen",,USD
295,52,Barbados,21153,"Edible offal of pigs, fresh, chilled or frozen",,USD
296,52,Barbados,21155,"Edible offal of sheep, fresh, chilled or frozen",,USD
297,52,Barbados,21511.01,Fat of pigs,,USD
298,52,Barbados,21515,"Goat fat, unrendered",,USD
299,52,Barbados,0231,"Hen eggs in shell, fresh",8426859.42972973,USD
