Country Code (ISO3),Country Code (M49),Animal,heads_on_PA,total_heads,total volume
BOL,68,Dk,267059.53,664869.2,4398054.008
BOL,68,Gt,705273.44,2179628.5,107712257.1705
BOL,68,Ho,226991.95,491525.8,
BOL,68,Pg,1042831.9,2854856.5,423313168.32
BOL,68,Sh,2429967.0,7470627.5,369669078.4446666
BIH,70,Bf,0.0,0.0,
BIH,70,Ch,1053204.125,15417846.0,248206602.4546154
BIH,70,Ct,67346.8203125,458537.7,350976437.52589
BIH,70,Dk,12184.4697265625,57666.305,0.0
BIH,70,Gt,12751.185546875,73347.95,
BIH,70,Ho,3278.287109375,16737.602,24173.761999999995
BIH,70,Pg,33696.96484375,578046.2,29072349.2535
BIH,70,Sh,160567.625,1025225.4,17908550.334014285
BWA,72,Bf,0.0,0.0,
BWA,72,Ch,208970.03125,757590.4,11847138.119307691
BWA,72,Ct,412483.6875,1742475.8,282411984.49583995
BWA,72,Dk,1.443500518798828,56.74292,
BWA,72,Gt,313933.5625,1203620.2,31224563.87914285
BWA,72,Ho,9002.29296875,32306.191,
BWA,72,Pg,958.5292358398438,4511.3887,870339.9495
BWA,72,Sh,74395.34375,241088.28,4807361.667099999
BRA,76,Bf,925543.8,1364557.4,
BRA,76,Ch,226694430.0,1325112700.0,48942367790.99359
BRA,76,Ct,36790524.0,215161120.0,71777135742.54431
BRA,76,Dk,773508.7,3654739.0,10318228.8
BRA,76,Gt,1772770.6,9618495.0,411254225.9477143
BRA,76,Ho,1193769.1,5547363.0,109925548.982
BRA,76,Pg,5703253.0,39776092.0,19128900190.5645
BRA,76,Sh,2765646.5,18397188.0,699876281.1480999
BGR,100,Bf,4128.4443,9522.409,11148797.333333334
BGR,100,Ch,3030275.2,12894094.0,258849072.4615385
BGR,100,Ct,192171.11,551749.94,487874176.59
BGR,100,Dk,409431.3,1510322.1,48057504.0
BGR,100,Gt,118323.89,290931.9,22471893.71428572
BGR,100,Ho,18185.97,41566.906,0.0
BGR,100,Pg,208560.75,545973.5,313620400.5
BGR,100,Sh,458620.44,1331593.5,87567241.31428571
BFA,854,Bf,0.0,0.0,
BFA,854,Ch,3179392.75,43360096.0,649420442.2948
BFA,854,Ct,1280097.125,9248169.0,973711036.1333332
BFA,854,Dk,17614.533203125,208809.53,
BFA,854,Gt,1765128.625,14290088.0,221819030.4
BFA,854,Ho,3244.31103515625,40103.76,408600.322
BFA,854,Pg,184233.8125,2389381.2,772201821.9150001
BFA,854,Sh,1091261.75,9545089.0,180325303.632
BDI,108,Bf,0.0,0.0,
BDI,108,Ch,425166.3125,2339625.5,31360402.469600003
BDI,108,Ct,216553.390625,802400.1,140078589.17299998
BDI,108,Dk,127.74842834472656,584.1787,
BDI,108,Gt,438133.875,2387214.2,78431849.05999999
BDI,108,Ho,0.0,0.0,
BDI,108,Pg,115064.75,542282.0,38510045.874
BDI,108,Sh,109001.5625,402490.88,5709244.356000001
