Country Code (ISO3),Country Code (M49),Animal,heads_on_PA,total_heads,total volume
BGR,100,Dk,416098.2,1510322.1,48057504.0
BGR,100,Gt,128176.68,290931.9,22471893.71428572
BGR,100,Ho,18863.562,41566.906,0.0
BGR,100,Pg,214869.98,545973.5,313620400.5
BGR,100,Sh,498755.22,1331593.5,87567241.31428571
BFA,854,Bf,0.0,0.0,
BFA,854,Ch,7459165.0,43360096.0,649420442.2948
BFA,854,Ct,2607304.25,9248169.0,973711036.1333332
BFA,854,Dk,45270.28515625,208809.53,
BFA,854,Gt,3519221.0,14290088.0,221819030.4
BFA,854,Ho,5335.8994140625,40103.76,408600.322
BFA,854,Pg,419477.0625,2389381.2,772201821.9150001
BFA,854,Sh,2240579.25,9545089.0,180325303.632
BDI,108,Bf,0.0,0.0,
BDI,108,Ch,672170.0625,2339625.5,31360402.469600003
BDI,108,Ct,318511.96875,802400.1,140078589.17299998
BDI,108,Dk,199.2523193359375,584.1787,
BDI,108,Gt,700215.6875,2387214.2,78431849.05999999
BDI,108,Ho,0.0,0.0,
BDI,108,Pg,185578.25,542282.0,38510045.874
BDI,108,Sh,154568.3125,402490.88,5709244.356000001
KHM,116,Bf,182928.77,685957.2,27236148.28333333
KHM,116,Ch,1758730.5,13040296.0,101587333.939
KHM,116,Ct,518514.44,2878831.0,399444570.9098
KHM,116,Dk,939461.0,8207299.0,21448081.168
KHM,116,Gt,35150.95,159283.69,
KHM,116,Ho,3843.9863,29971.879,
KHM,116,Pg,453028.9,2183751.0,348850788.8688
KHM,116,Sh,6323.2607,36366.984,
CMR,120,Bf,0.0,0.0,
CMR,120,Ch,19703944.0,51196536.0,660358224.709
CMR,120,Ct,2259549.75,6024239.0,996024366.5508
CMR,120,Dk,400.12542724609375,1436.4863,0.0
CMR,120,Gt,1499128.25,5006731.0,275297278.88750005
CMR,120,Ho,7736.08642578125,17914.424,812346.2779999999
CMR,120,Pg,696291.0625,1843075.4,167307997.338
CMR,120,Sh,1216588.625,3994665.5,200576179.3533333
CAN,124,Bf,15105.215,69818.74,
CAN,124,Ch,29442210.0,167365620.0,5458909625.076351
CAN,124,Ct,2415559.2,11633022.0,15337230981.2425
CAN,124,Dk,308307.1,1449348.8,60183860.68799999
CAN,124,Gt,4474.0254,29919.264,
CAN,124,Ho,67270.94,399169.16,41558200.80033333
CAN,124,Pg,2045156.2,13175039.0,5217585964.8
CAN,124,Sh,135935.95,822849.94,105787827.3759375
CPV,132,Bf,0.0,0.0,
