Country Code (ISO3),item,macro_impact,type,physical_volume,physical_unit,Country Name,gdp2022,relative impact
ALB,cherry,9619322.867225073,vegetal,9456.668174621582,tonnes,Albania,18916378860.5488,0.0005085181967510032
ALB,chestnut,2659169.407921655,vegetal,1795.5228952880857,tonnes,Albania,18916378860.5488,0.00014057497090352246
ALB,chickpea,1337.8723062013717,vegetal,1.2723767148066971,tonnes,Albania,18916378860.5488,7.072560324912827e-08
ALB,chicory,,vegetal,,tonnes,Albania,18916378860.5488,
ALB,chilleetc,37545855.73603578,vegetal,57559.184019677734,tonnes,Albania,18916378860.5488,0.0019848331444841075
ALB,citrusnes,59728.236274277995,vegetal,83.70574770412445,tonnes,Albania,18916378860.5488,3.1574878423927463e-06
ALB,clover,,vegetal,,tonnes,Albania,18916378860.5488,
ALB,cotton,104070.63573685376,vegetal,106.57788037261963,tonnes,Albania,18916378860.5488,5.501615108476129e-06
ALB,cowpea,19773.41488170359,vegetal,10.864513671265708,tonnes,Albania,18916378860.5488,1.0453065582727457e-06
ALB,cucumberetc,31984602.129342604,vegetal,50520.61622072754,tonnes,Albania,18916378860.5488,0.001690841696771486
ALB,eggplant,5045227.343654721,vegetal,5240.161345715332,tonnes,Albania,18916378860.5488,0.00026671211127922764
ALB,fig,12790610.980121749,vegetal,13276.532053271485,tonnes,Albania,18916378860.5488,0.0006761659339989909
ALB,flax,,vegetal,,tonnes,Albania,18916378860.5488,
ALB,fruitnes,266769.66537320556,vegetal,309.0473417205811,tonnes,Albania,18916378860.5488,1.4102575727618201e-05
ALB,garlic,10812787.666827276,vegetal,10510.096876776124,tonnes,Albania,18916378860.5488,0.0005716098068525139
ALB,grapefruitetc,5390.306011890657,vegetal,10.169650700903933,tonnes,Albania,18916378860.5488,2.8495443296139786e-07
ALB,grape,24554551.59742744,vegetal,42132.03774438477,tonnes,Albania,18916378860.5488,0.0012980577191038065
ALB,grassnes,,vegetal,,tonnes,Albania,18916378860.5488,
ALB,greenbean,6611353.286162351,vegetal,5265.912613430786,tonnes,Albania,18916378860.5488,0.0003495041696352736
